epoch97 results: 
channel  6:  3942
channel 18:  3747
channel 21:  3485
channel 55:  3010
channel 38:  2119

channel  1:  1533
channel 28:   909
channel 49:   869
channel 17:   866
channel  2:   668
channel 22:   615
channel 27:   614
channel 34:   241
channel 57:   215
channel  7:   198
channel 30:   166
channel  4:   162
channel 37:   158
channel 52:   131
channel  0:   107
channel 20:   105
channel 12:   102
channel 43:    83
channel 40:    69
channel 23:    66
channel 45:    58
channel 46:    56
channel 14:    46
channel 41:    41
channel 51:    41
channel 48:    33
channel 31:    30
channel 53:    30
channel 42:    27
channel 26:    27
channel 50:    23
channel 56:    22
channel 59:    19
channel 35:    15
channel 33:    14
channel 62:    11
channel 54:    10
channel 39:     9
channel 29:     9
channel 60:     7
channel 36:     7
channel 61:     5
channel 19:     4
channel 24:     4
channel 25:     3
channel 13:     3
channel 15:     2
channel  9:     1
channel 32:     1
channel  5:     1
channel 44:     1
channel 11:     0
channel 10:     0
channel  8:     0
channel 58:     0
channel 16:     0
channel  3:     0
channel 47:     0
channel 63:     0
