epoch98 results: 
channel  3:  3523
channel 26:  3188
channel  7:  1888

channel 31:  1870
channel 12:  3132

channel 55:  1745
channel 24:  1213
channel  5:   938
channel 23:   829
channel  4:   768
channel 32:   743
channel 48:   705
channel  9:   628
channel 10:   420
channel 54:   370
channel 43:   350
channel 38:   338
channel 47:   271
channel 53:   267
channel 16:   235
channel 34:   197
channel 58:   197
channel 51:   133
channel 18:   110
channel 49:    85
channel 57:    84
channel 13:    68
channel 36:    65
channel 20:    54
channel  2:    47
channel  8:    41
channel 46:    37
channel 60:    33
channel 42:    27
channel 11:    22
channel  0:    18
channel 41:    16
channel 35:    13
channel 21:    11
channel 27:     8
channel  6:     7
channel 19:     6
channel 50:     5
channel 44:     5
channel 62:     5
channel 28:     5
channel 37:     4
channel 14:     3
channel 30:     3
channel 59:     2
channel 61:     2
channel 39:     1
channel 40:     1
channel 15:     1
channel 29:     1
channel 25:     1
channel 52:     1
channel 17:     0
channel  1:     0
channel 45:     0
channel 56:     0
channel 22:     0
channel 33:     0
channel 63:     0
