epoch98 results: 
channel 43:  4504
channel 27:  3934
channel 25:  3327
channel 42:  3230
channel 18:  2014
channel 38:  1904
channel 22:  1218
channel 48:  1130
channel 62:  1084
channel 29:   661
channel 16:   645
channel 44:   434
channel 37:   191
channel 63:   122
channel  7:   106
channel 21:    62
channel 10:    52
channel 14:    32
channel 51:    19
channel  8:    14
channel 35:    12
channel 12:    10
channel 23:     7
channel 40:     5
channel 32:     5
channel  9:     4
channel 57:     4
channel 61:     3
channel 47:     3
channel 60:     2
channel 45:     1
channel  3:     1
channel  2:     0
channel 19:     0
channel  1:     0
channel 20:     0
channel 17:     0
channel 11:     0
channel 15:     0
channel 13:     0
channel  5:     0
channel  6:     0
channel  4:     0
channel 31:     0
channel 24:     0
channel 26:     0
channel 59:     0
channel 58:     0
channel 56:     0
channel 55:     0
channel 54:     0
channel 53:     0
channel 52:     0
channel 50:     0
channel 49:     0
channel 46:     0
channel 41:     0
channel 39:     0
channel 36:     0
channel 34:     0
channel 33:     0
channel 30:     0
channel 28:     0
channel  0:     0
